CellLabel	Distance[µm]	DAPI	MTCOI	SDHA
Pos1	43.538	58.429	404	406.714
Pos1	43.86	60.571	397.429	394.143
Pos1	44.183	58.286	451	477.429
Pos1	44.505	58.714	538.429	565.286
Pos1	44.828	60.286	563.571	532.714
Pos1	45.15	58.714	559	580.429
Pos1	45.473	59.714	559.857	592.429
Pos1	45.795	60.286	550.286	597.143
Pos1	46.118	59	563.286	592.714
Pos1	46.44	60.143	535.286	563
Pos1	46.763	60.143	497.571	482.429
Pos1	47.085	60.143	497.571	482.429
Pos1	47.408	59.857	423	399.571
Pos1	47.73	60.571	333.571	334.714
Pos1	48.053	55.571	346.143	338.143
Pos1	48.375	56.714	383.571	347
Pos1	48.698	58.857	398.429	360.143
Pos1	49.02	56.571	399.143	295.143
Pos1	49.343	57	335.714	250.286
Pos1	49.665	57.143	299.857	254
Pos1	49.988	56.429	286.286	253.286
Pos1	50.31	58.429	309.143	281
Pos1	50.633	59.286	325.714	303.286
Pos1	50.955	57.857	319.857	326
Pos1	51.278	59.429	368.143	398.286
Pos1	51.6	58.286	430.571	478.857
Pos1	51.923	59	488.429	536.714
Pos1	52.245	60.714	518.429	533.429
Pos1	52.568	57.143	492.143	512.143
Pos1	52.89	58	437.714	470.429
Pos1	53.213	57.286	436.286	468.143
Pos1	53.535	56.714	464	503.429
Pos1	53.858	59.143	436.571	576.286
Pos1	54.18	56.714	497.857	576.714
Pos1	54.503	56.571	477.571	482.571
Pos1	54.825	55.571	365	385.143
Pos1	55.148	55.571	371.571	394.143
Pos1	55.47	56.429	407.143	347.571
Pos1	55.793	60.571	348.714	221.286
Pos1	56.115	56.571	238	188.429
Pos1	56.438	56.571	185	196.857
Pos1	56.76	57.571	201.429	247.429
Pos1	57.083	57.429	227.714	225.571
Pos1	57.405	58.286	210	192.143
Pos1	57.728	55.143	208.429	187.857
Pos1	58.05	56.429	224.429	187.714
Pos1	58.373	57.857	210.857	184
Pos1	58.695	59	213.714	189
Pos1	59.018	57.429	207	205.429
Pos1	59.34	55.286	242.857	250.857
Pos1	59.663	55.571	278.571	290.571
Pos1	59.985	56.857	312	310.714
Pos1	60.308	56.714	341	323.714
Pos1	60.63	56.143	329	300
Pos1	60.953	55.857	334.429	313.286
Pos1	61.275	56.429	389.571	359.429
Pos1	61.598	56.714	344.286	325.429
Pos1	61.92	56.857	321.286	316.857
Pos1	62.243	57.857	365.571	341.571
Pos1	62.565	54.714	380	371.857
Pos1	62.888	56.714	406.857	402.571
Pos1	63.21	54.857	400.286	483
Pos1	63.533	54.857	400.286	483
Pos1	63.855	54.714	410.429	482.143
Pos1	64.177	55.429	422	462.571
Pos1	64.5	57.143	373.286	425.143
